doi,year,title,journal_name,publisher,bso_classification
10.1016/j.jflm.2015.12.005,2016,Corrigendum to Fatal heat stroke in a child entrapped in a confined space [J Forens Legal Med 34 (August 2015) 139–144],Journal of Forensic and Legal Medicine,Elsevier BV,Medical research
10.1007/978-3-319-18827-0_49,2016,DDFV Ventcell Schwarz Algorithms,Domain Decomposition Methods in Science and Engineering XXII,Springer International Publishing,Medical research
10.1007/s10686-015-9475-9,2016,THERMAP: a mid-infrared spectro-imager for space missions to small bodies in the inner solar system,Experimental Astronomy,Springer Science and Business Media LLC,Medical research
10.1038/ngeo2620,2016,A mixed seismic–aseismic stress release episode in the Andean subduction zone,Nature Geoscience,Springer Science and Business Media LLC,Medical research
10.1210/en.2015-1639,2016,"Ablation of the Stimulatory G Protein α-Subunit in Renal Proximal Tubules Leads to Parathyroid Hormone-Resistance With Increased Renal Cyp24a1 mRNA Abundance and Reduced Serum 1,25-Dihydroxyvitamin D",Endocrinology,The Endocrine Society,Medical research
10.1007/s10750-015-2333-y,2016,"The necromass of the Posidonia oceanica seagrass meadow: fate, role, ecosystem services and vulnerability",Hydrobiologia,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1055/s-0034-1393129,2016,Efficacy of the endoscopic rendez-vous technique for the reconstruction of complete esophageal disruptions,Endoscopy,Georg Thieme Verlag KG,Medical research
10.15252/emmm.201505496,2016,<i> <scp>CHCHD</scp> 10 </i> mutations promote loss of mitochondrial cristae junctions with impaired mitochondrial genome maintenance and inhibition of apoptosis,EMBO Molecular Medicine,EMBO,Medical research
10.1051/medsci/20163203010,2016,Rôle de la fractalkine/CX3CL1 et de son récepteur CX3CR1 dans les pathologies allergiques,médecine/sciences,EDP Sciences,"Earth, Ecology, 
Energy and applied biology"
10.1111/pre.12113,2016,"Phylogeographic analysis of the brown algaCutleria multifida(Tilopteridales, Phaeophyceae) suggests a complicated introduction history",Phycological Research,Wiley,Biology (fond.)
10.1007/s00259-016-3309-5,2016,Reduction in camera-specific variability in [123I]FP-CIT SPECT outcome measures by image reconstruction optimized for multisite settings: impact on age-dependence of the specific binding ratio in the ENC-DAT database of healthy controls,European Journal of Nuclear Medicine and Molecular Imaging,Springer Science and Business Media LLC,Biology (fond.)
10.1016/j.jvsv.2015.07.006,2016,The efficacy of intermittent pneumatic compression in the prevention of lower extremity deep venous thrombosis,Journal of Vascular Surgery: Venous and Lymphatic Disorders,Elsevier BV,Biology (fond.)
10.1103/PhysRevD.93.025004,2016,Fermionic current and Schwinger effect in de Sitter spacetime,Physical Review D,American Physical Society (APS),"Physical sciences, Astronomy"
10.1016/j.pdpdt.2015.07.176,2016,"Antimicrobial efficacy of photodynamic therapy, Nd:YAG laser and QMiX solution against Enterococcus faecalis biofilm",Photodiagnosis and Photodynamic Therapy,Elsevier BV,Biology (fond.)
10.1371/journal.pone.0149070,2016,"Mortality and Morbidity of Urban Road Traffic Crashes in Africa: Capture-Recapture Estimates in Bamako, Mali, 2012",PLOS ONE,Public Library of Science (PLoS),"Earth, Ecology, 
Energy and applied biology"
10.1103/PhysRevD.93.025014,2016,Comparison of semiclassical and Wigner function methods in pair production in rotating fields,Physical Review D,American Physical Society (APS),"Physical sciences, Astronomy"
10.1111/cea.12723,2016,"Lung-gut cross-talk: evidence, mechanisms and implications for the mucosal inflammatory diseases",Clinical &amp; Experimental Allergy,Wiley,Biology (fond.)
10.1002/ppul.23368,2016,"Eosinophilic pneumonias in children: A review of the epidemiology, diagnosis, and treatment",Pediatric Pulmonology,Wiley,"Physical sciences, Astronomy"
10.1057/9781137480668,2016,Economic Development in the Middle East and North Africa,,Palgrave Macmillan US,
10.1016/j.biochi.2015.09.011,2016,The size of the primary cilium and acetylated tubulin are modulated during adipocyte differentiation: Analysis of HDAC6 functions in these processes,Biochimie,Elsevier BV,Medical research
10.1016/j.lrp.2014.09.001,2016,Mechanisms for Managing Competencies in Project-Based Organizations: An Integrative Multilevel Analysis,Long Range Planning,Elsevier BV,Medical research
10.1016/j.surg.2015.08.005,2016,"Reduction in early mortality outcomes after bariatric surgery in France between 2007 and 2012: A nationwide study of 133,000 obese patients",Surgery,Elsevier BV,Biology (fond.)
10.1016/j.jcv.2016.02.026,2016,Direct-acting antiviral treatment in adults infected with hepatitis C virus: Reactivation of hepatitis B virus coinfection as a further challenge,Journal of Clinical Virology,Elsevier BV,Chemistry
10.1111/eea.12378,2016,Using optimality models to improve the efficacy of parasitoids in biological control programmes,Entomologia Experimentalis et Applicata,Wiley,Social sciences
10.5978/islsm.16-OR-02,2016,"The effect of CO2 and Nd:YAP lasers on CAD/CAM Ceramics: SEM, EDS and thermal studies",LASER THERAPY,International Phototherapy Association,"Physical sciences, Astronomy"
10.1007/s10569-016-9674-3,2016,A numerical investigation of coorbital stability and libration in three dimensions,Celestial Mechanics and Dynamical Astronomy,Springer Science and Business Media LLC,Mathematics
10.1016/j.envsoft.2015.12.002,2016,Spatial Global Sensitivity Analysis of High Resolution classified topographic data use in 2D urban flood modelling,Environmental Modelling &amp; Software,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1038/mi.2016.3,2016,Response to “Disparity between vitamin A-induced Th1-dependent oral tolerance in newborn mice and vitamin A-induced atopic sensitization in Guinean girls”,Mucosal Immunology,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1093/jac/dkv323,2016,Telaprevir-based therapy in patients coinfected with chronic hepatitis C virus infection and HIV: INSIGHT study,Journal of Antimicrobial Chemotherapy,Oxford University Press (OUP),"Earth, Ecology, 
Energy and applied biology"
10.1007/s00259-015-3304-2,2016,Implementation of the European multicentre database of healthy controls for [123I]FP-CIT SPECT increases diagnostic accuracy in patients with clinically uncertain parkinsonian syndromes,European Journal of Nuclear Medicine and Molecular Imaging,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1142/S0219887816500274,2016,Dark matter as residual of topological changes,International Journal of Geometric Methods in Modern Physics,World Scientific Pub Co Pte Lt,"Physical sciences, Astronomy"
10.1080/17400309.2015.1106688,2016,Groundwork for a (pre)history of film festivals,New Review of Film and Television Studies,Informa UK Limited,"Computer and 
 information sciences"
10.1109/TGRS.2016.2528298,2016,Estimating the Intrinsic Dimension of Hyperspectral Images Using a Noise-Whitened Eigengap Approach,IEEE Transactions on Geoscience and Remote Sensing,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1212/WNL.0000000000002264,2016,A recessive Na<sub>v</sub>1.4 mutation underlies congenital myasthenic syndrome with periodic paralysis,Neurology,Ovid Technologies (Wolters Kluwer Health),Medical research
10.5114/jcb.2016.57535,2016,Concomitant cervical and transperineal parametrial high-dose-rate brachytherapy boost for locally advanced cervical cancer,Journal of Contemporary Brachytherapy,Termedia Sp. z.o.o.,"Physical sciences, Astronomy"
10.1136/gutjnl-2015-310523,2016,Presence of commensal house dust mite allergen in human gastrointestinal tract: a potential contributor to intestinal barrier dysfunction,Gut,BMJ,Biology (fond.)
10.1007/s00404-016-4063-4,2016,Development and validation of an objective structured assessment of technical skill tool for the practice of breech presentation delivery,Archives of Gynecology and Obstetrics,Springer Science and Business Media LLC,Biology (fond.)
10.1007/s11690-015-0508-3,2016,Que faire en cas de reflux gastro-oesophagien compliquant la sleeve gastrectomie ? Cas clinique et revue de la littérature,Obésité,Lavoisier,Mathematics
10.1785/0220150185,2016,"Influence of Source, Path, and Site Effects on the Magnitude Dependence of Ground‐Motion Decay with Distance",Seismological Research Letters,Seismological Society of America (SSA),Mathematics
10.1016/j.jbspin.2015.11.005,2016,Influenza and pneumococcal vaccine coverage in 584 patients taking biological therapy for chronic inflammatory joint: A retrospective study,Joint Bone Spine,Elsevier BV,"Computer and 
 information sciences"
10.1785/0220150111,2016,"<i>P</i>‐Delays from Floating Seismometers (MERMAID), Part I: Data Processing",Seismological Research Letters,Seismological Society of America (SSA),"Physical sciences, Astronomy"
10.1016/j.cmi.2015.10.038,2016,Actinotignum schaalii (formerly Actinobaculum schaalii ): a newly recognized pathogen—review of the literature,Clinical Microbiology and Infection,Elsevier BV,Mathematics
10.1002/yea.3143,2016,Yeast2.0: a new chapter,Yeast,Wiley,Mathematics
10.1177/0843871415624176,2016,‘No law ever prohibited neutral caravans in time of war’: The fragility of neutral shipping in the late eighteenth-century Mediterranean,International Journal of Maritime History,SAGE Publications,Mathematics
10.1142/S0219887815501297,2016,Superlogic manifolds and geometric approach to quantum logic,International Journal of Geometric Methods in Modern Physics,World Scientific Pub Co Pte Lt,"Physical sciences, Astronomy"
10.1016/j.clinre.2015.09.006,2016,Nonalcoholic steatohepatitis cirrhosis and type 1 refractory celiac disease: More than a fortuitous association?,Clinics and Research in Hepatology and Gastroenterology,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.ucl.2015.08.005,2016,Current Status of Urinary Biomarkers for Detection and Surveillance of Bladder Cancer,Urologic Clinics of North America,Elsevier BV,"Physical sciences, Astronomy"
10.1016/j.jbspin.2015.04.012,2016,Injections for treatment of carpometacarpal osteoarthritis (rhizarthrosis): What is the evidence?,Joint Bone Spine,Elsevier BV,Mathematics
10.1007/s10409-015-0487-5,2016,Generalized flyby trajectories around elongated minor celestial bodies as a rotating mass dipole,Acta Mechanica Sinica,Springer Science and Business Media LLC,Biology (fond.)
10.1111/ger.12094,2016,Assessment of the oral health knowledge of healthcare providers in geriatric nursing homes: additional training needs required,Gerodontology,Wiley,"Computer and 
 information sciences"
10.1097/PRS.0000000000001856,2016,The Vascularized Lateral Antebrachial Cutaneous Nerve Graft Based on a Radial Artery Perforator for Nerve Defect Reconstruction,Plastic and Reconstructive Surgery,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1016/j.soard.2015.10.070,2016,One or two steps for laparoscopic conversion of failed adjustable gastric banding to sleeve gastrectomy: a nationwide French study on 3357 morbidly obese patients,Surgery for Obesity and Related Diseases,Elsevier BV,Social sciences
10.1016/j.jse.2015.09.018,2016,SECEC Research Grant 2008 II: Use of platelet- and leucocyte-rich fibrin (L-PRF) does not affect late rotator cuff tendon healing: a prospective randomized controlled study,Journal of Shoulder and Elbow Surgery,Elsevier BV,"Computer and 
 information sciences"
10.1016/j.jns.2016.02.012,2016,"Efficacy and safety profile of memantine in patients with cognitive impairment in multiple sclerosis: A randomized, placebo-controlled study",Journal of the Neurological Sciences,Elsevier BV,Biology (fond.)
10.1017/S1743921315008509,2016,Small asteroids temporarily captured in the Earth-Moon system,Proceedings of the International Astronomical Union,Cambridge University Press (CUP),"Earth, Ecology, 
Energy and applied biology"
10.1016/j.jse.2015.08.033,2016,Clinical and radiologic outcomes of pyrocarbon radial head prosthesis: midterm results,Journal of Shoulder and Elbow Surgery,Elsevier BV,Social sciences
10.1016/j.clinbiomech.2015.12.005,2016,Anatomical and biomechanical evaluation of an intramedullary nail for fractures of proximal humerus fractures based on tuberosity fixation,Clinical Biomechanics,Elsevier BV,Biology (fond.)
10.1017/S1365100515000097,2016,SOCIAL LEARNING ABOUT CONSUMPTION,Macroeconomic Dynamics,Cambridge University Press (CUP),Social sciences
10.1097/MEJ.0000000000000362,2017,Acute respiratory failure after drowning: a retrospective multicenter survey,European Journal of Emergency Medicine,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1016/j.lpm.2016.01.020,2016,Méningo-encéphalite bactérienne secondaire à une sinusite : imputabilité des anti-inflammatoires non stéroïdiens ?,La Presse Médicale,Elsevier BV,"Physical sciences, Astronomy"
10.1530/EJE-15-1099,2016,"Quality of life, clinical outcomes and safety of early prophylactic levothyroxine administration in patients with Graves' hyperthyroidism undergoing radioiodine therapy: a randomized controlled study",European Journal of Endocrinology,Bioscientifica,Medical research
10.1016/j.cmi.2015.10.030,2016,Infections related to Actinotignum schaalii (formerly Actinobaculum schaalii ): a 3-year prospective observational study on 50 cases,Clinical Microbiology and Infection,Elsevier BV,Engineering
10.1097/DAD.0000000000000511,2016,Acquired Localized Longitudinal Pachyonychia and Onychomatrical Tumors: A Comparative Study to Onychomatricomas (5 Cases) and Onychocytic Matricomas (4 Cases),The American Journal of Dermatopathology,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1016/j.clnu.2016.01.020,2016,ESPEN guidelines on chronic intestinal failure in adults,Clinical Nutrition,Elsevier BV,"Physical sciences, Astronomy"
10.1007/s00345-015-1737-7,2016,Prognostic role of ERCC1 protein expression in upper tract urothelial carcinoma following radical nephroureterectomy with curative intent,World Journal of Urology,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1111/jerd.12194,2016,Inter- and Intra-Operator Reliability of Facial and Dental Measurements Using 3D-Stereophotogrammetry,Journal of Esthetic and Restorative Dentistry,Wiley,"Computer and 
 information sciences"
10.1051/0004-6361/201526888,2016,GTC/CanariCam observations of (99942) Apophis,Astronomy &amp; Astrophysics,EDP Sciences,Engineering
10.1152/japplphysiol.00967.2015,2016,Commentaries on Viewpoint: A role for the prefrontal cortex in exercise tolerance and termination,Journal of Applied Physiology,American Physiological Society,"Computer and 
 information sciences"
10.1007/s12220-015-9654-y,2016,Optimal Maps and Exponentiation on Finite-Dimensional Spaces with Ricci Curvature Bounded from Below,The Journal of Geometric Analysis,Springer Science and Business Media LLC,Biology (fond.)
10.1007/s10603-016-9315-y,2016,A Critical Review of the Costs of Advertising: a Transformative Consumer Research Perspective,Journal of Consumer Policy,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.asoc.2015.11.012,2016,Comparative analysis of multi-objective evolutionary algorithms for QoS-aware web service composition,Applied Soft Computing,Elsevier BV,"Computer and 
 information sciences"
10.1007/978-3-662-49665-7_5,2016,Integrated Environment for Verifying and Running Distributed Components,Lecture Notes in Computer Science,Springer Berlin Heidelberg,Mathematics
10.1007/978-1-349-26270-0,2016,New Theories in Growth and Development,,Palgrave Macmillan UK,
10.1016/j.autrev.2016.01.001,2016,Smoke and autoimmunity: The fire behind the disease,Autoimmunity Reviews,Elsevier BV,"Physical sciences, Astronomy"
10.1007/s00167-015-3835-x,2016,"Erratum to: Patient demographics and surgical characteristics in ACL revision: a comparison of French, Norwegian, and North American cohorts","Knee Surgery, Sports Traumatology, Arthroscopy",Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.dld.2015.10.005,2016,Immunoglobulin G4-associated autoimmune hepatitis may be found in Western countries,Digestive and Liver Disease,Elsevier BV,"Computer and 
 information sciences"
10.1038/nature16934,2016,Super-catastrophic disruption of asteroids at small perihelion distances,Nature,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1111/bju.13523,2017,Magnetic resonance microscopy may enable distinction between normal histomorphological features and prostate cancer in the resected prostate gland,BJU International,Wiley,"Computer and 
 information sciences"
10.1016/j.icarus.2016.04.013,2016,The geophysical environment of Bennu,Icarus,Elsevier BV,Medical research
10.1093/ecco-jcc/jjv162,2016,Fistula Plug in Fistulising Ano-Perineal Crohn’s Disease: a Randomised Controlled Trial,Journal of Crohn's and Colitis,Oxford University Press (OUP),"Computer and 
 information sciences"
10.1016/j.jpeds.2016.03.070,2016,Frey Syndrome,The Journal of Pediatrics,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.3847/0004-637X/826/1/44,2016,THE INFRARED SPECTRAL PROPERTIES OF MAGELLANIC CARBON STARS,The Astrophysical Journal,American Astronomical Society,"Physical sciences, Astronomy"
10.1111/dar.12398,2017,No significant effect of cannabis use on the count and percentage of circulating CD4 T-cells in HIV-HCV co-infected patients (ANRS CO13-HEPAVIH French cohort),Drug and Alcohol Review,Wiley,"Computer and 
 information sciences"
10.1007/978-3-319-43425-4_23,2016,Performance Evaluation of Train Moving-Block Control,Lecture Notes in Computer Science,Springer International Publishing,Biology (fond.)
10.1051/0004-6361/201525769,2016,Fast inversion of Zeeman line profiles using central moments,Astronomy & Astrophysics,EDP Sciences,Mathematics
10.3354/meps11783,2016,"Geographic distance, water circulation and environmental conditions shape the biodiversity of Mediterranean rocky coasts",Marine Ecology Progress Series,Inter-Research Science Center,Engineering
10.1007/978-3-319-34129-3_44,2016,Enriching a Small Artwork Collection Through Semantic Linking,Lecture Notes in Computer Science,Springer International Publishing,Medical research
10.1016/j.ctrv.2015.12.007,2016,Proton beams in cancer treatments: Clinical outcomes and dosimetric comparisons with photon therapy,Cancer Treatment Reviews,Elsevier BV,"Computer and 
 information sciences"
10.1093/femsec/fiw120,2016,Benthic protists: the under-charted majority,FEMS Microbiology Ecology,Oxford University Press (OUP),"Computer and 
 information sciences"
10.1136/heartjnl-2016-310003,2017,Pregnancy outcomes in patients with pulmonary arterial hypertension associated with congenital heart disease,Heart,BMJ,Biology (fond.)
10.1109/TSP.2016.2518991,2016,Multitask Diffusion Adaptation Over<?Pub _newline ?>Asynchronous Networks,IEEE Transactions on Signal Processing,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1111/ijlh.12531,2016,Developmental hemostasis: laboratory and clinical implications,International Journal of Laboratory Hematology,Wiley,"Computer and 
 information sciences"
10.1177/0957155815616588,2016,Sommets sportifs nationaux et identités culturelles régionales: Médiatisation des confrontations rugbystiques Paris-province,French Cultural Studies,SAGE Publications,Biology (fond.)
10.1097/SHK.0000000000000665,2016,Effects of Increasing Hydrocortisone to 300 mg Per Day in the Treatment of Septic Shock,Shock,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1136/bcr-2016-215482 1,2016,Management of non-syndromic double tooth affecting permanent maxillary central incisors: a systematic review,BMJ Case Reports,BMJ,Medical research
10.4267/2042/60676,2016,"Ivaldiceras, a new genus of heteromorphic ammonites from the Lower Aptian of southeast France",Carnets de géologie (Notebooks on geology),Society for Sedimentary Geology,"Earth, Ecology, 
Energy and applied biology"
10.1093/mnras/stv2942,2016,EU Del: exploring the onset of pulsation-driven winds in giant stars,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),"Earth, Ecology, 
Energy and applied biology"
10.1016/j.jcp.2016.04.020,2016,A DGTD method for the numerical modeling of the interaction of light with nanometer scale metallic structures taking into account non-local dispersion effects,Journal of Computational Physics,Elsevier BV,Medical research
10.1007/s11690-016-0536-7,2016,Le mot du président…,Obésité,Lavoisier,Medical research
10.1093/schbul/sbw002,2016,Working Memory Deficit as a Risk Factor for Severe Apathy in Schizophrenia: A 1-Year Longitudinal Study,Schizophrenia Bulletin,Oxford University Press (OUP),Medical research
10.1016/j.actaastro.2016.05.009,2016,The NEOTωIST mission (Near-Earth Object Transfer of angular momentum spin test),Acta Astronautica,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1109/ICASSP.2016.7472545,2016,Diffusion LMS over multitask networks with noisy links,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",IEEE,"Computer and 
 information sciences"
10.1016/j.clnu.2016.04.009,2016,Management of acute intestinal failure: A position paper from the European Society for Clinical Nutrition and Metabolism (ESPEN) Special Interest Group,Clinical Nutrition,Elsevier BV,Biology (fond.)
10.1051/parasite/2016031,2016,Molecular characterization ofWolbachiainfection in bed bugs (Cimex lectularius) collected from several localities in France,Parasite,EDP Sciences,Biology (fond.)
10.1097/SLA.0000000000001879,2017,Natural History of Adjustable Gastric Banding,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1186/s13059-016-0952-x,2016,RISC-mediated control of selected chromatin regulators stabilizes ground state pluripotency of mouse embryonic stem cells,Genome Biology,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.ijrobp.2015.10.061,2016,"Pathologic Response, When Increased by Longer Interval, Is a Marker but Not the Cause of Good Prognosis in Rectal Cancer: 17-year Follow-up of the Lyon R90-01 Randomized Trial",International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,"Computer and 
 information sciences"
10.1007/s13199-016-0406-y,2016,Thermal and menthol stress induce different cellular events during sea anemone bleaching,Symbiosis,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1160/TH15-12-0964,2016,Age dependency for coagulation parameters in paediatric populations,Thrombosis and Haemostasis,Georg Thieme Verlag KG,Biology (fond.)
10.1038/scientificamerican0516-28,2016,Born of Chaos,Scientific American,Springer Science and Business Media LLC,Mathematics
10.3917/pox.113.0171,2016,Les « originaires » en politique,Politix,CAIRN,"Computer and 
 information sciences"
10.1016/j.physletb.2016.07.011,2016,Schwinger effect and backreaction in de Sitter spacetime,Physics Letters B,Elsevier BV,Mathematics
10.1016/j.cognition.2016.05.024,2016,Chunk formation in immediate memory and how it relates to data compression,Cognition,Elsevier BV,Biology (fond.)
10.1177/0146167216651407,2016,Reducing Stereotype Threat With Embodied Triggers,Personality and Social Psychology Bulletin,SAGE Publications,"Computer and 
 information sciences"
10.1007/s00345-016-1826-2,2017,Prognostic factors and predictive tools for upper tract urothelial carcinoma: a systematic review,World Journal of Urology,Springer Science and Business Media LLC,Medical research
10.1108/IJBM-11-2014-0170,2016,The determinants of the choice of Islamic banks in Tunisia,International Journal of Bank Marketing,Emerald,Humanities
10.1016/j.clnu.2016.06.022,2017,Effectiveness and efficacy of nutritional therapy: A systematic review following Cochrane methodology,Clinical Nutrition,Elsevier BV,"Physical sciences, Astronomy"
10.3917/rfsp.662.0321,2016,Présentation,Revue française de science politique,CAIRN,Biology (fond.)
10.1007/978-3-319-35122-3_9,2016,VCU: The Three Dimensions of Reuse,Software Reuse: Bridging with Social-Awareness,Springer International Publishing,Medical research
10.1590/S1516-14982016002008,2016,A pulsão: da encarnação à transferência,Ágora: Estudos em Teoria Psicanalítica,FapUNIFESP (SciELO),Humanities
10.1145/2910019.2910029,2016,Towards Improving e-Government Services Using Social Media-Based Citizen's Profile Investigation,Proceedings of the 9th International Conference on Theory and Practice of Electronic Governance,ACM,Biology (fond.)
10.1088/0143-0807/37/4/045601,2016,The 1895 Lorentz transformations: historical issues and present teaching,European Journal of Physics,IOP Publishing,"Physical sciences, Astronomy"
10.1097/DAD.0000000000000579,2017,Acquired Localized (Monodactylous) Longitudinal Pachyonychia and Onychocytic Carcinoma In Situ (2 Cases): Part II,The American Journal of Dermatopathology,Ovid Technologies (Wolters Kluwer Health),Medical research
10.18632/oncotarget.8458,2016,MicroRNA-375/SEC23A as biomarkers of the <i>in vitro</i> efficacy of vandetanib,Oncotarget,"Impact Journals, LLC",Medical research
10.1109/ICISE.2016.13,2016,Combining SysML and Marte/CCSL to Model Complex Electronic Systems,2016 International Conference on Information Systems Engineering (ICISE),IEEE,"Computer and 
 information sciences"
10.3917/lhs.197.0031,2016,Comment (et pourquoi) repenser la performativité des énoncés théoriques ?,L'Homme et la société,CAIRN,Engineering
10.1017/S1473550416000227,2016,MOMA: the challenge to search for organics and biosignatures on Mars,International Journal of Astrobiology,Cambridge University Press (CUP),Humanities
10.2106/JBJS.O.00760,2016,Inferior Cubital Artery Perforator Flap for Soft-Tissue Coverage of the Elbow,Journal of Bone and Joint Surgery,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1007/s11695-016-2268-z,2016,Postoperative Mortality After Bariatric Surgery: Do the Numbers Reflect the Reality?,Obesity Surgery,Springer Science and Business Media LLC,Mathematics
10.1142/S0218202516500457,2016,Analysis of a chemotaxis system modeling ant foraging,Mathematical Models and Methods in Applied Sciences,World Scientific Pub Co Pte Lt,Mathematics
10.1142/S0218271816500668,2016,Inhomogeneous matter distribution and supernovae,International Journal of Modern Physics D,World Scientific Pub Co Pte Lt,"Physical sciences, Astronomy"
10.3917/etr.0911.0057,2016,La mort au pluriel ou la mort dans l’âme,Études théologiques et religieuses,CAIRN,Humanities
10.1515/arcadia-2016-0006,2016,« Nous »!,arcadia,Walter de Gruyter GmbH,"Physical sciences, Astronomy"
10.1007/s13347-016-0213-7,2016,From Ideal to Future Cities: Science Fiction as an Extension of Utopia,Philosophy & Technology,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1111/ijlh.12499,2016,<i>In vitro</i> sensitivity of different activated partial thromboplastin time reagents to mild clotting factor deficiencies,International Journal of Laboratory Hematology,Wiley,"Physical sciences, Astronomy"
