tmp_doi,bso_classification_classe,source
10.1016/j.clineuro.2021.106876,7,mesri
10.1016/j.tetlet.2021.153366,1,mesri
10.1016/j.ando.2021.09.001,7,mesri
10.1016/j.jmateco.2021.102511,3,mesri
10.1016/j.jbc.2021.100963,0,mesri
10.1016/j.patter.2020.100006,8,mesri
10.1016/j.celrep.2021.110070,0,mesri
10.1016/j.sna.2017.11.010,8,mesri
10.1016/j.physletb.2021.136562,8,mesri
10.1016/j.tig.2021.08.006,0,mesri
10.1016/j.euroecorev.2020.103424,9,mesri
10.1016/j.jpap.2021.100052,1,mesri
10.1016/j.icarus.2020.113963,3,mesri
10.1016/j.ejca.2021.10.008,7,mesri
10.1016/j.celrep.2021.109911,0,mesri
10.1016/j.ifacol.2020.12.689,2,mesri
10.1016/j.jeconom.2021.05.009,6,mesri
10.1016/j.purol.2021.09.007,7,mesri
10.1016/j.jhepr.2019.09.005,7,mesri
10.1016/j.jmateco.2021.102493,6,mesri
10.1016/j.ejor.2021.11.018,2,mesri
10.1016/j.aam.2020.102161,6,mesri
10.1016/j.icarus.2021.114624,3,mesri
10.1016/j.ejor.2020.12.045,2,mesri
10.1016/j.ejca.2021.08.030,7,mesri
10.1016/j.ins.2021.02.012,6,mesri
10.1016/j.dyepig.2021.109798,1,mesri
10.1016/j.ejmech.2021.113726,7,mesri
10.1016/j.ebiom.2021.103679,7,mesri
10.1016/j.marpetgeo.2020.104753,3,mesri
10.1016/j.aforl.2019.10.015,7,mesri
10.1016/j.indcrop.2021.113892,0,mesri
10.1016/j.tcs.2019.07.014,2,mesri
10.1016/j.rcot.2021.08.002,7,mesri
10.1016/bs.irn.2021.06.005,7,mesri
10.1016/j.celrep.2021.109864,0,mesri
10.1016/j.jece.2020.104972,3,mesri
10.1016/j.clnu.2021.07.002,7,mesri
10.1016/j.epsl.2016.04.015,3,mesri
10.1016/j.polymer.2020.123157,1,mesri
10.1016/j.jaad.2021.11.039,7,mesri
10.1016/j.molmet.2021.101336,0,mesri
10.1016/j.coemr.2019.08.018,0,mesri
10.1016/j.ijthermalsci.2020.106687,8,mesri
10.1016/j.bbrep.2021.101098,7,mesri
10.1016/j.mex.2021.101530,0,mesri
10.1016/j.gca.2020.09.035,3,mesri
10.1016/j.imlet.2021.10.003,7,mesri
10.1016/j.ijbiomac.2021.08.098,0,mesri
10.1016/j.techfore.2020.120483,3,mesri
10.1016/j.ejor.2019.12.017,2,mesri
10.1016/j.tca.2020.178855,1,mesri
10.1016/j.tca.2020.178859,1,mesri
10.1016/j.jaccpubpol.2020.106802,9,mesri
10.1016/j.polgeo.2021.102375,7,mesri
10.1016/j.jcp.2020.110062,8,mesri
10.1016/j.ejca.2021.09.029,7,mesri
10.1136/jitc-2021-002998,7,mesri
10.1136/jitc-2021-002866,7,mesri
10.1136/bmjopen-2020-047083,7,mesri
10.37725/mgmt.v24.4534,9,mesri
10.1063/1.4997139,8,mesri
10.1111/srt.12922,7,mesri
10.1111/eea.13094,0,mesri
10.3917/herm.084.0229,5,mesri
10.3917/spub.204.0371,7,mesri
10.3917/psys.163.0195,7,mesri
10.3917/cpc.055.0165,7,mesri
10.3917/sta.132.0007,5,mesri
10.3917/ethn.211.0021,5,mesri
10.3917/tdm.028.0048,5,mesri
10.3917/sta.132.0063,5,mesri
10.3917/ride.351.0075,9,mesri
10.3917/ride.352.0129,9,mesri
10.3917/rhu.057.0157,5,mesri
10.3917/ride.352.0245,9,mesri
10.3917/redp.271.0025,9,mesri
10.3917/sta.110.0093,5,mesri
10.1088/1741-4326/aa7f46,8,mesri
10.1088/1361-6579/ac1872,7,mesri
10.1088/1361-6420/ab2c91,8,mesri
10.1088/1742-6596/1461/1/012080,8,mesri
10.1088/1742-5468/ab5d0a,8,mesri
10.1088/2515-7647/ac1324,8,mesri
10.3324/haematol.2021.278697,7,mesri
10.1183/23120541.00396-2021,7,mesri
10.1051/0004-6361/201937228,2,mesri
10.1051/0004-6361/202040026,3,mesri
10.1051/0004-6361/201527210,8,mesri
10.1051/0004-6361/201629129,8,mesri
10.1051/0004-6361/201936343,8,mesri
10.1051/ro/2019085,2,mesri
10.1051/0004-6361/201629349,8,mesri
10.1051/0004-6361/201731033,3,mesri
10.1051/0004-6361/201629374,8,mesri
10.1051/0004-6361/202039726,3,mesri
10.1051/0004-6361/201629314,8,mesri
10.1051/0004-6361/202038477,3,mesri
10.1051/0004-6361/201629850,8,mesri
10.1051/0004-6361/201730868,3,mesri
10.1051/0004-6361/202140554,3,mesri
10.1051/0004-6361/201629376,8,mesri
10.1051/ita/2021002,2,mesri
10.1051/0004-6361/202039030,3,mesri
10.1140/epjb/e2020-10310-4,1,mesri
10.1038/s41467-021-26551-x,7,mesri
10.1684/hma.2017.1313,7,mesri
10.1002/alz.050302,7,mesri
10.1002/alz.050304,7,mesri
10.1002/tcr.202100253,1,mesri
10.1002/prp2.854,7,mesri
10.1002/mame.202100323,1,mesri
10.1145/3474085.3477938,2,mesri
10.1145/3508072.3508080,2,mesri
10.1145/3486622.3494028,7,mesri
10.1145/3461001.3473056,0,mesri
10.1145/3479394.3479408,3,mesri
10.1084/jem.20202345,7,mesri
10.2478/jcbtp-2021-0023,5,mesri
10.1515/opar-2020-0167,5,mesri
10.1515/pac-2021-1011,1,mesri
10.1590/1415-4714.2021v24n4p570.5,5,mesri
10.1177/17085381211050766,7,mesri
10.1177/17585732211040160,7,mesri
10.1177/13524585211035951,7,mesri
10.1177/17474930211059636,7,mesri
10.1177/10422587211038480,2,mesri
10.1126/sciadv.abj7601,8,mesri
10.1126/science.abi5658,0,mesri
10.1126/sciadv.abh3794,7,mesri
10.1039/d1gc02082j,1,mesri
10.1039/d1gc90124a,1,mesri
10.15252/embj.2021108041,0,mesri
10.1001/jamaneurol.2021.3619,7,mesri
10.1242/bio.058892,0,mesri
10.1080/17535069.2021.2009551,9,mesri
10.1080/09537325.2021.1991576,2,mesri
10.1080/00986445.2021.1980394,1,mesri
10.1080/10438599.2021.1982712,9,mesri
10.1093/geronb/gbab128,0,mesri
10.1093/geronb/gbab038,0,mesri
10.1093/geronb/gbab111,0,mesri
10.1093/mnras/stab3050,8,mesri
10.1093/mnras/stab2695,8,mesri
10.1093/mnras/stab2245,3,mesri
10.1093/mnras/stab2398,3,mesri
10.1093/cid/ciaa1929,7,mesri
10.1093/eurheartj/ehab630,7,mesri
10.1055/a-1681-4544,1,mesri
10.1155/2021/5581512,7,mesri
10.1007/s10637-021-01152-z,7,mesri
10.1111/1467-8551.12585,7,mesri
10.1111/1346-8138.16080,7,mesri
10.1111/jdv.17652,7,mesri
10.1111/eva.13329,0,mesri
10.1111/mec.16199,0,mesri
10.1111/joms.12791,0,mesri
10.34172/jlms.2021.31,7,mesri
10.1021/acs.joc.1c02030,1,mesri
10.1021/acsphotonics.1c01833,8,mesri
10.1021/acs.bioconjchem.1c00442,0,mesri
10.1021/acsapm.1c00927,1,mesri
10.1021/acssuschemeng.1c06939,1,mesri
10.3917/cep.069.0203,8,mesri
10.5840/enviroethics201712149,5,mesri
10.1307/mmj/1490639821,6,mesri
10.1016/j.ifacol.2017.08.672,2,mesri
10.3917/tdm.028.0075,5,mesri
10.1177/20515707211022169,0,mesri
10.3390/insects12080674,0,mesri
10.1051/0004-6361/202141543,3,mesri
10.1016/j.ifacol.2021.06.110,2,mesri
10.1016/j.ijdrr.2021.102521,3,mesri
10.5194/se-12-1421-2021,3,mesri
10.3917/redp.313.0005,9,mesri
10.1038/s41598-021-96027-x,0,mesri
10.1080/17524032.2021.1954538,3,mesri
10.3389/fmicb.2021.710346,0,mesri
10.1016/j.ejps.2021.105985,7,mesri
10.1007/978-3-030-87657-9_8,2,mesri
10.1016/j.ekir.2021.06.034,7,mesri
10.3390/s21165263,2,mesri
10.1002/mma.7726,8,mesri
10.1371/journal.pcbi.1009239,7,mesri
10.1007/s00025-021-01497-0,6,mesri
10.3390/jcm10153353,7,mesri
10.1007/s10686-021-09709-9,8,mesri
10.3390/cells10071832,7,mesri
10.1039/d1dt01609a,1,mesri
10.1088/1361-6641/abd489,8,mesri
10.1007/978-3-030-75549-2_20,2,mesri
10.1016/j.ultsonch.2021.105748,1,mesri
10.1051/0004-6361/202140874,3,mesri
10.1051/0004-6361/202040144,3,mesri
10.1371/journal.pone.0254237,0,mesri
10.1088/2058-9565/ac1b6a,8,mesri
10.1098/rsta.2021.0023,8,mesri
10.1136/bmjopen-2020-046184,7,mesri
10.1016/j.lanepe.2021.100202,7,mesri
10.1051/m2an/2021036,8,mesri
10.1007/s11302-021-09811-9,0,mesri
10.1016/j.enpol.2021.112324,3,mesri
10.3390/md19090520,0,mesri
10.1016/j.compmedimag.2021.101990,7,mesri
10.1039/d1gc02732h,1,mesri
10.3390/jcm10153347,7,mesri
10.1051/0004-6361/202141151,8,mesri
10.1016/j.ijggc.2021.103471,3,mesri
10.1088/1741-4326/abf99f,8,mesri
10.1007/978-3-030-87586-2_14,2,mesri
10.1186/s12920-021-01077-9,0,mesri
10.1186/s40168-021-01135-5,7,mesri
10.1016/j.jpaa.2021.106755,6,mesri
10.1007/s10092-021-00430-9,6,mesri
10.1111/gcb.15896,0,mesri
10.1016/j.avsg.2021.05.010,7,mesri
10.1021/acs.organomet.1c00458,1,mesri
10.1080/17445647.2021.1982034,3,mesri
10.1038/s41598-021-95891-x,0,mesri
10.1371/journal.pone.0256768,7,mesri
10.1051/0004-6361/202140279,8,mesri
10.1007/s10686-021-09769-x,3,mesri
10.1126/science.abj3179,0,mesri
10.1016/j.drudis.2021.07.004,7,mesri
10.1016/j.spmi.2020.106801,8,mesri
10.1145/3452143.3465541,2,mesri
10.1038/s43247-021-00269-6,3,mesri
10.1016/j.jsames.2021.103406,3,mesri
10.1051/0004-6361/202140544,8,mesri
10.1038/s41598-021-98893-x,0,mesri
10.1145/3479239.3485717,2,mesri
10.1051/0004-6361/202140478,8,mesri
10.1016/j.jvs.2021.01.073,7,mesri
10.3847/2041-8213/abe949,8,mesri
10.1016/j.jasrep.2021.102807,5,mesri
10.1093/mnras/stab2847,8,mesri
10.4000/rei.10184,5,mesri
10.1038/s41586-021-03620-1,3,mesri
10.1038/s42254-021-00349-8,8,mesri
10.3389/fphy.2021.654271,8,mesri
10.1016/j.pss.2021.105201,3,mesri
10.1016/j.semcdb.2021.06.007,0,mesri
10.1017/pasa.2021.11,8,mesri
10.1117/12.2576135,4,mesri
10.3390/atoms9030035,8,mesri
10.1007/s40263-021-00860-7,7,mesri
10.1515/crelle-2021-0028,6,mesri
10.1021/acs.jpcc.1c00926,8,mesri
10.3847/1538-4357/ac0c7e,3,mesri
10.1111/maps.13716,3,mesri
10.3847/2041-8213/ac17f2,3,mesri
10.1007/978-3-030-78710-3_46,2,mesri
10.1007/978-3-030-78710-3_43,2,mesri
10.1007/s00357-021-09402-8,6,mesri
10.1117/12.2562461,8,mesri
10.1117/12.2562847,3,mesri
10.1016/j.ifacol.2021.08.319,2,mesri
10.1016/j.canrad.2021.06.018,7,mesri
10.1007/978-3-030-78710-3_3,2,mesri
10.1163/15685322-10703012,2,mesri
10.1007/978-3-030-88210-5_15,2,mesri
10.1007/s10884-021-09986-0,8,mesri
10.1093/mnras/stab2617,8,mesri
10.1007/978-3-030-87231-1_52,2,mesri
10.1093/femsec/fiab103,0,mesri
10.3390/md19080411,0,mesri
10.1016/j.tecto.2021.229084,3,mesri
10.3847/1538-4357/ac1115,8,mesri
10.3847/1538-4357/abefd4,8,mesri
10.3847/1538-4357/abfa23,3,mesri
10.1051/0004-6361/202141781,8,mesri
10.1080/00207578.2021.1938577,0,mesri
10.1116/5.0063701,8,mesri
10.3847/1538-4357/abe627,8,mesri
10.3847/1538-3881/abd8d0,3,mesri
10.1051/0004-6361/201935336,3,mesri
10.1007/978-3-030-78710-3_44,7,mesri
10.3847/1538-3881/ac0432,8,mesri
10.1051/medsci/2021133,7,mesri
10.1016/j.jinsphys.2021.104320,0,mesri
10.3390/math9192437,6,mesri
10.1007/978-3-030-78230-6_13,2,mesri
10.1016/j.icarus.2021.114433,3,mesri
10.1016/j.pss.2021.105249,3,mesri
10.1016/j.molcel.2021.07.033,0,mesri
10.3390/rs13071315,3,mesri
10.1016/j.icarus.2021.114529,3,mesri
10.1038/s41561-021-00762-9,3,mesri
10.1016/j.pss.2021.105268,3,mesri
10.1007/s10569-021-10020-0,3,mesri
10.1016/j.icarus.2021.114591,8,mesri
10.1038/s42005-021-00708-y,8,mesri
10.1016/j.anbehav.2021.01.019,0,mesri
10.1186/s13613-021-00934-1,7,mesri
10.1016/j.immuni.2021.08.006,7,mesri
10.1051/0004-6361/202140626,8,mesri
10.1016/j.geomorph.2021.107896,3,mesri
10.1093/mnras/stab2822,8,mesri
10.1016/j.isprsjprs.2021.02.012,3,mesri
10.1007/s10686-021-09775-z,3,mesri
10.1051/0004-6361/202140901,8,mesri
10.3847/1538-4357/abd183,3,mesri
10.1016/j.marpetgeo.2021.104974,3,mesri
10.1051/0004-6361/202141128,8,mesri
10.3390/pr9091496,0,mesri
10.1007/978-3-030-85633-5_3,2,mesri
10.1186/s12943-021-01416-5,7,mesri
10.1051/0004-6361/202140912,8,mesri
10.1145/3485730.3493374,2,mesri
10.3390/ijerph18168384,7,mesri
10.1038/s41467-021-25940-6,0,mesri
10.1117/12.2594609,8,mesri
10.1038/s41467-021-26142-w,0,mesri
10.1007/978-3-030-92121-7_8,2,mesri
10.1088/1742-5468/ac32b8,8,mesri
10.3389/fimmu.2021.766275,7,mesri
10.1016/j.econmod.2021.02.017,6,mesri
10.1016/j.euroecorev.2020.103632,9,mesri
10.1007/s13740-021-00137-8,2,mesri
10.1215/00182702-9308953,9,mesri
10.1145/3460210.3493557,2,mesri
10.1186/s12864-021-07932-4,0,mesri
10.1145/3491047,2,mesri
10.3847/1538-4357/ac2bfb,8,mesri
10.1016/j.apnum.2020.11.001,6,mesri
10.3389/fnmol.2021.780535,0,mesri
10.1002/rnc.5945,2,mesri
10.1063/5.0057635,8,mesri
10.3390/cleantechnol3040050,3,mesri
10.1016/j.comnet.2021.108570,2,mesri
10.1016/j.microrel.2021.114265,4,mesri
10.4000/rei.10034,9,mesri
10.1016/j.jcomc.2021.100109,1,mesri
10.3390/polym13193295,1,mesri
10.1002/admi.202100352,1,mesri
10.1177/13621688211064932,5,mesri
10.1016/j.frl.2020.101853,2,mesri
10.4000/rei.10029,9,mesri
10.3390/app112110229,8,mesri
10.1186/s13578-021-00733-y,0,mesri
10.1111/cogs.13050,0,mesri
10.1016/j.ast.2021.107035,6,mesri
10.5267/j.ijdns.2021.5.006,9,mesri
