sourceuca_source_id,sourceuca_doi,sourceuca_year,sourceuca_corresponding,sourceuca_all_authors,sourceuca_corresponding_normalized,sourceuca_title,sourceuca_journal_name,sourceuca_journal_issn_l,sourceuca_journal_is_oa,sourceuca_journal_is_in_doaj,sourceuca_is_oa_normalized,sourceuca_oa_status_normalized,sourceuca_oa_host_type_normalized,sourceuca_oa_repo_normalized,sourceuca_publisher_by_doiprefix,sourceuca_bso_classification_fr,sourceuca_funder
SCOPUS_ID:84952715030,10.1097/PRS.0000000000001856,2016,,Bronsard N.|Camuzard O.|Baqué P.,non,The Vascularized Lateral Antebrachial Cutaneous Nerve Graft Based on a Radial Artery Perforator for Nerve Defect Reconstruction,Plastic and Reconstructive Surgery,0032-1052,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84959478699,10.1017/S1743921315008509,2016,,Bolin B.,non,Small asteroids temporarily captured in the Earth-Moon system,Proceedings of the International Astronomical Union,1743-9213,False,False,Accès ouvert,Bronze,Editeur,Autres,Cambridge University Press (CUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:84943778473,10.1017/S1365100515000097,2016,,Seppecher P.,non,SOCIAL LEARNING ABOUT CONSUMPTION,Macroeconomic Dynamics,1365-1005,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",Cambridge University Press (CUP),Sciences sociales,
SCOPUS_ID:84950131669,10.1097/MEJ.0000000000000362,2017,,Dellamonica J.|Ichai C.,non,Acute respiratory failure after drowning: a retrospective multicenter survey,European Journal of Emergency Medicine,0969-9546,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84962506298,10.1530/EJE-15-1099,2016,,Benisvy D.,non,"Quality of life, clinical outcomes and safety of early prophylactic levothyroxine administration in patients with Graves' hyperthyroidism undergoing radioiodine therapy: a randomized controlled study",European Journal of Endocrinology,0804-4643,False,False,Accès ouvert,Green,Archive ouverte,Autres,,Inconnu,
SCOPUS_ID:84961226413,10.1097/DAD.0000000000000511,2016,,Ambrosetti D.|Balaguer T.|Perrin C.|Michiels J.F.,non,Acquired Localized Longitudinal Pachyonychia and Onychomatrical Tumors: A Comparative Study to Onychomatricomas (5 Cases) and Onychocytic Matricomas (4 Cases),The American Journal of Dermatopathology,0193-1091,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84959086015,10.1007/s10603-016-9315-y,2016,,Ballantyne R.,non,A Critical Review of the Costs of Advertising: a Transformative Consumer Research Perspective,Journal of Consumer Policy,0168-7034,False,False,Accès ouvert,Green,Archive ouverte,Autres,Springer Science and Business Media LLC,Biologie fondamentale,
SCOPUS_ID:84979257365,10.3847/0004-637X/826/1/44,2016,,Lagadec E.,non,THE INFRARED SPECTRAL PROPERTIES OF MAGELLANIC CARBON STARS,The Astrophysical Journal,0004-637X,False,False,Accès ouvert,Green,Archive ouverte,"arXiv,Autres",American Astronomical Society,Sciences physiques et astronomie,
SCOPUS_ID:84968756915,10.1109/TSP.2016.2518991,2016,,Ferrari A.|Nassif R.|Richard C.,non,Multitask Diffusion Adaptation Over<?Pub _newline ?>Asynchronous Networks,IEEE Transactions on Signal Processing,1053-587X,False,False,Accès ouvert,Green,Archive ouverte,arXiv,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,
SCOPUS_ID:84978120412,10.1097/SHK.0000000000000665,2016,Hyvernat H.|UCA (affiliation),Hyvernat H.|Gentilhomme A.|Pradier C.|Goubaux B.|Dellamonica J.|Bernardin G.,oui,Effects of Increasing Hydrocortisone to 300 mg Per Day in the Treatment of Septic Shock,Shock,1073-2322,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84975302281,10.1136/bcr-2016-215482 1,2016,,Bolla M.M.,non,Management of non-syndromic double tooth affecting permanent maxillary central incisors: a systematic review,BMJ Case Reports,1757-790X,False,False,Accès ouvert,Green,Archive ouverte,Autres,BMJ,Recherche médicale,
SCOPUS_ID:84979246874,10.4267/2042/60676,2016,,Delanoy G.,non,"Ivaldiceras, a new genus of heteromorphic ammonites from the Lower Aptian of southeast France",Carnets de géologie (Notebooks on geology),1634-0744,True,True,Accès ouvert,Gold,Editeur et archive ouverte,Autres,INIST-CNRS,"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:84963830892,10.1093/mnras/stv2942,2016,,Lagadec E.,non,EU Del: exploring the onset of pulsation-driven winds in giant stars,Monthly Notices of the Royal Astronomical Society,0035-8711,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",Oxford University Press (OUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:84978698346,10.1097/SLA.0000000000001879,2017,,Iannelli A.,non,Natural History of Adjustable Gastric Banding,Annals of Surgery,0003-4932,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84977554012,10.1160/TH15-12-0964,2016,Toulon P.|UCA (affiliation),Toulon P.,oui,Age dependency for coagulation parameters in paediatric populations,Thrombosis and Haemostasis,0340-6245,False,False,Accès fermé,Closed,Accès fermé,Autres,,Inconnu,
SCOPUS_ID:84964026753,10.1038/scientificamerican0516-28,2016,,Morbidelli A.,non,Born of Chaos,Scientific American,0036-8733,False,False,Accès fermé,Closed,Accès fermé,Autres,Springer Science and Business Media LLC,Biologie fondamentale,
SCOPUS_ID:84974828476,10.1108/IJBM-11-2014-0170,2016,,Aliouat B.,non,The determinants of the choice of Islamic banks in Tunisia,International Journal of Bank Marketing,0265-2323,False,False,Accès fermé,Closed,Accès fermé,Autres,Emerald,Sciences sociales,
SCOPUS_ID:84971425350,10.1590/S1516-14982016002008,2016,Vinot F.|UCA (affiliation),Vinot F.,oui,A pulsão: da encarnação à transferência,Ágora: Estudos em Teoria Psicanalítica,1516-1498,True,False,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",,Inconnu,
SCOPUS_ID:84970006641,10.1097/DAD.0000000000000579,2017,,Ambrosetti D.|Perrin C.|Patouraux S.,non,Acquired Localized (Monodactylous) Longitudinal Pachyonychia and Onychocytic Carcinoma In Situ (2 Cases): Part II,The American Journal of Dermatopathology,0193-1091,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84978919894,10.1017/S1473550416000227,2016,,Meierhenrich U.,non,MOMA: the challenge to search for organics and biosignatures on Mars,International Journal of Astrobiology,1473-5504,False,False,Accès ouvert,Bronze,Editeur,Autres,Cambridge University Press (CUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:84979285066,10.2106/JBJS.O.00760,2016,,Bronsard N.|Baque P.|De Peretti F.|Camuzard O.,non,Inferior Cubital Artery Perforator Flap for Soft-Tissue Coverage of the Elbow,Journal of Bone and Joint Surgery,0021-9355,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84978737364,10.1142/S0218202516500457,2016,Goudon T.|UCA (affiliation),Goudon T.,oui,Analysis of a chemotaxis system modeling ant foraging,Mathematical Models and Methods in Applied Sciences,0218-2025,False,False,Accès ouvert,Green,Archive ouverte,arXiv,World Scientific Pub Co Pte Ltd,Mathématiques,
SCOPUS_ID:84964643205,10.1142/S0218271816500668,2016,Stahl C.|UCA (affiliation),Stahl C.,oui,Inhomogeneous matter distribution and supernovae,International Journal of Modern Physics D,0218-2718,False,False,Accès fermé,Closed,Accès fermé,Autres,World Scientific Pub Co Pte Ltd,Sciences physiques et astronomie,
SCOPUS_ID:84969211479,10.3917/etr.0911.0057,2016,Assaël J.|UCA (affiliation),Assaël J.,oui,La mort au pluriel ou la mort dans l’âme,Études théologiques et religieuses,0014-2239,False,False,Accès fermé,Closed,Accès fermé,Autres,CAIRN,Sciences humaines,
SCOPUS_ID:84964671780,10.1172/JCI84518,2016,,Ivanov S.,non,CCR7 and IRF4-dependent dendritic cells regulate lymphatic collecting vessel permeability,Journal of Clinical Investigation,0021-9738,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"Hal,Autres",American Society for Clinical Investigation,Recherche médicale,
SCOPUS_ID:84976476602,10.1109/JSAC.2016.2558978,2016,,Jacquemart Q.,non,HEAP: Reliable Assessment of BGP Hijacking Attacks,IEEE Journal on Selected Areas in Communications,0733-8716,False,False,Accès ouvert,Green,Archive ouverte,arXiv,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,UCN@Sophia Labex
SCOPUS_ID:84977478678,10.1108/CG-09-2015-0123,2016,,Toumi N.,non,Board director disciplinary and cognitive influence on corporate value creation,Corporate Governance,1472-0701,False,False,Accès fermé,Closed,Accès fermé,Autres,Emerald,Informatique et sciences de l'information,
SCOPUS_ID:84978775154,10.1097/CCM.0000000000001900,2016,Contenti J.|UCA (affiliation),Contenti J.|Levraut J.,oui,The authors reply,Critical Care Medicine,0090-3493,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84963801158,10.1097/CCM.0000000000001580,2016,,Contenti J.|Levraut J.,non,The authors reply,Critical Care Medicine,0090-3493,False,False,Accès fermé,Closed,Accès fermé,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84973456385,10.1159/000442158,2016,,Tulic M.K.,non,Epigenetic Regulation in Early Childhood: A Miniaturized and Validated Method to Assess Histone Acetylation,International Archives of Allergy and Immunology,1018-2438,False,False,Accès ouvert,Bronze,Editeur,Autres,S. Karger AG,Recherche médicale,
SCOPUS_ID:84965107710,10.4267/2042/58977,2016,,Delanoy G.,non,"Revision of the Early Cretaceous genera Heminautilus Spath, 1927, and Josanautilus Martínez & Grauges, 2006 (Nautilida, Cenoceratidae)",Carnets de géologie (Notebooks on geology),1634-0744,True,True,Accès ouvert,Gold,Editeur et archive ouverte,Autres,INIST-CNRS,"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85047141066,10.1017/S0960129518000105,2018,,Scagnetto I.|Liquori L.,non,Plugging-in proof development environments usingLocksinLF,Mathematical Structures in Computer Science,0960-1295,False,False,Accès ouvert,Green,Archive ouverte,Autres,Cambridge University Press (CUP),Informatique et sciences de l'information,
SCOPUS_ID:85045286709,10.1108/IMEFM-06-2017-0151,2018,,Olivero B.,non,Does sin matter in corporate governance issues in the United States,International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,False,False,Accès fermé,Closed,Accès fermé,Autres,Emerald,Sciences sociales,
SCOPUS_ID:85044752512,10.1109/TMI.2018.2820742,2018,Zheng Q.|UCA (affiliation),Zheng Q.|Delingette H.|Ayache N.,oui,3-D Consistent and Robust Segmentation of Cardiac Images by Deep Learning With Spatial Propagation,IEEE Transactions on Medical Imaging,0278-0062,False,False,Accès fermé,Closed,Accès fermé,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,European Research Council
SCOPUS_ID:85047960600,10.1002/14651858.CD003220.pub3,2018,,Muller-Bolla M.,non,Pulp treatment for extensive decay in primary teeth,Cochrane Database of Systematic Reviews,1464-780X,False,False,Accès ouvert,Green,Archive ouverte,Autres,Wiley,Recherche médicale,
SCOPUS_ID:85045107270,10.1109/MAP.2018.2796032,2018,,Cihangir A.,non,Industrial Antenna Design: A Multidisciplinary Course Offered by the European School of Antennas [Education Corner],IEEE Antennas and Propagation Magazine,1045-9243,False,False,Accès fermé,Closed,Accès fermé,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,
SCOPUS_ID:85047166596,10.1017/S1743921317000928,2016,Lagadec E.|Observatoire de la Côte d'Azur,Lagadec E.|Lagadec E.,oui,Post-AGB nebular studies,Proceedings of the International Astronomical Union,1743-9213,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",Cambridge University Press (CUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85045195509,10.1097/SHK.0000000000001014,2018,,Panaïa-Ferrari P.|Hyvernat H.|Pradier C.|Doyen D.|Goubaux B.|Dellamonica J.|Bernardin G.,non,Is Inappropriate Response to Cosyntropin Stimulation Test an Indication of Corticosteroid Resistance in Septic Shock?,Shock,1073-2322,False,False,Accès ouvert,Bronze,Editeur,Autres,Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:85045653019,10.1109/TSE.2018.2826537,2019,,Okoli C.,non,Creating Rich and Representative Personas by Discovering Affordances,IEEE Transactions on Software Engineering,0098-5589,False,False,Accès ouvert,Green,Archive ouverte,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,Concordia University
SCOPUS_ID:85044999713,10.1103/PhysRevLett.120.141101,2018,,Métris G.|Métris G.,non,<i>MICROSCOPE</i> Mission: First Constraints on the Violation of the Weak Equivalence Principle by a Light Scalar Dilaton,Physical Review Letters,0031-9007,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",American Physical Society (APS),Sciences physiques et astronomie,"Labex,Agence Nationale de la Recherche,Horizon 2020 Framework Programme,European Cooperation in Science and Technology"
SCOPUS_ID:85047622620,10.1109/TBME.2018.2839713,2019,,Giffard-Roisin S.|Sermesant M.|Delingette H.|Ayache N.,non,Transfer Learning From Simulations on a Reference Anatomy for ECGI in Personalized Cardiac Resynchronization Therapy,IEEE Transactions on Biomedical Engineering,0018-9294,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",Institute of Electrical and Electronics Engineers (IEEE),Recherche médicale,"European funding from the Seventh Framework Programme,ERC starting grant ECSTATIC"
SCOPUS_ID:85045693349,10.1302/0301-620X.100B4.BJJ-2017-0495.R2,2018,,Moineau G.|Bonnevialle N.|Baba M.|Gauci M.O.|Walch G.|Boileau P.,non,Anatomical total shoulder arthroplasty in young patients with osteoarthritis,The Bone &amp; Joint Journal,2049-4394,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"Hal,Autres",British Editorial Society of Bone & Joint Surgery,Recherche médicale,
SCOPUS_ID:85046637374,10.4267/2042/66955,2018,,Delanoy G.,non,"Heteroceras gracile sp. nov., a new species of Heteroceras Orbigny, 1849, from the upper Barremian of Morteiron (Alpes de Haute-Provence, France)",Carnets de géologie (Notebooks on geology),1634-0744,True,True,Accès ouvert,Gold,Editeur,Autres,INIST-CNRS,"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85045389131,10.4018/IJESMA.2017010103,2017,,Janawade V.,non,Loyalty Programme and Meta-Services,International Journal of E-Services and Mobile Applications,1941-627X,False,False,Accès fermé,Closed,Accès fermé,Autres,IGI Global,Informatique et sciences de l'information,
SCOPUS_ID:85069528646,10.1134/S0016266319020102,2019,Rostov V.P.|Laboratoire de Mathématiques J.A. Dieudonné,Rostov V.P.,oui,On the Complex Conjugate Zeros of the Partial Theta Function,Functional Analysis and Its Applications,0016-2663,False,False,Accès fermé,Closed,Accès fermé,Autres,Pleiades Publishing Ltd,Mathématiques,
SCOPUS_ID:85069961326,10.1103/PhysRevLett.123.043902,2019,,Marconi M.|Camelin P.|Huyet G.|Giudici M.,non,Third Order Dispersion in Time-Delayed Systems,Physical Review Letters,0031-9007,False,False,Accès fermé,Closed,Accès fermé,Autres,American Physical Society (APS),Sciences physiques et astronomie,"European Regional Development Fund,Bundesministerium für Bildung und Forschung,Agence Nationale de la Recherche,Conseil Régional Provence-Alpes-Côte d’Azur"
SCOPUS_ID:85069036285,10.1177/1045389X19862358,2019,,Kuzhir P.,non,Actively lubricated hybrid journal bearings based on magnetic fluids for high-precision spindles of machine tools,Journal of Intelligent Material Systems and Structures,1045-389X,False,False,Accès ouvert,Green,Archive ouverte,Hal,SAGE Publications,Ingénierie,
SCOPUS_ID:85069837329,10.1029/2019JB017512,2019,,Ampuero J.,non,"Bayesian Dynamic Finite‐Fault Inversion: 2. Application to the 2016 <i>M</i> <sub> <i>w</i> </sub> 6.2 Amatrice, Italy, Earthquake",Journal of Geophysical Research: Solid Earth,2169-9313,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"Hal,arXiv,Autres",American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée","DeGregorio Family Foundation,Agence Nationale de la Recherche,Deutsche Forschungsgemeinschaft,Grantová Agentura České Republiky"
SCOPUS_ID:85068965834,10.1103/PhysRevD.99.122002,2019,,Minazzoli O.|Fournier J.D.|Coulon J.P.|Heitmann H.|Hreibi A.|Chaibi O.|Merzougui M.|Kéfélian F.|Cleva F.|Boer M.|Pichot M.|Cipriano F.|Macquet A.|Stachie C.|Radulescu N.|Vinet J.Y.|Brillet A.|Bogaert G.|Man N.|Christensen N.,non,Narrow-band search for gravitational waves from known pulsars using the second LIGO observing run,Physical Review D,2470-0010,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,"National Science Foundation,Science and Technology Facilities Council,Australian Research Council,Instituto Nazionale di Fisica Nucleare,Centre National de la Recherche Scientifique,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Council of Scientific and Industrial Research,Department of Science and Technology, Ministry of Science and Technology,Science and Engineering Research Board,Ministry of Human Resource Development,Narodowe Centrum Nauki,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Russian Foundation for Basic Research,Russian Science Foundation,European Commission,European Regional Development Fund,Royal Society,Scottish Funding Council,Scottish Universities Physics Alliance,Országos Tudományos Kutatási Alapprogramok,National Research Foundation of Korea,Ontario Ministry of Economic Development and Innovation,Canadian Institute for Advanced Research,National Natural Science Foundation of China,Leverhulme Trust,Ministry of Science and Technology, Taiwan,Kavli Foundation,Natural Sciences and Engineering Research Council of Canada,Nemzeti Kutatási és Technológiai Hivatal,Max-Planck-Society,Vicepresidència i Conselleria d’Innovació,Recerca i Turisme,Conselleria d’Educació i Universitat del Govern de les Illes Balears,Conselleria d’Educació,Cultura i Esport de la Generalitat Valenciana,Lyon Institute of Origins,Brazilian Ministry of Science, Technology, Innovations, and Communications,International Center for Theoretical Physics South American Institute for Fundamental Research,Research Grants Council of Hong Kong"
SCOPUS_ID:85069817338,10.1103/PhysRevA.100.013624,2019,,Métivier D.|Kaiser R.|Labeyrie G.|Marcos B.,non,Towards a measurement of the Debye length in very large magneto-optical traps,Physical Review A,2469-9926,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"Hal,arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,"U.S. Department of Energy,Los Alamos National Laboratory,Laboratory Directed Research and Development"
SCOPUS_ID:85069814827,10.1364/OE.27.021794,2019,Jullien A.|Institut de Physique de Nice,Jullien A.|Neradovskiy M.,oui,Dispersion of 20 fs pulses through band edges of cholesteric liquid crystals,Optics Express,1094-4087,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",The Optical Society,Sciences physiques et astronomie,Agence Nationale de la Recherche (ANR)
SCOPUS_ID:85069199624,10.1214/19-EJS1565,2019,Laloë T.|Laboratoire de Mathématiques J.A. Dieudonné,Laloë T.,oui,Multivariate adaptive warped kernel estimation,Electronic Journal of Statistics,1935-7524,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",Institute of Mathematical Statistics,Mathématiques,
SCOPUS_ID:85069542019,10.1108/JKM-06-2018-0353,2019,,Walsh I.|Anand A.,non,Does humility facilitate knowledge sharing? Investigating the role of humble knowledge inquiry and response,Journal of Knowledge Management,1367-3270,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",Emerald,Informatique et sciences de l'information,
SCOPUS_ID:85069497497,10.1109/LPT.2019.2924652,2019,,Blanc W.,non,Refractive Index Sensor by Interrogation of Etched MgO Nanoparticle-Doped Optical Fiber Signature,IEEE Photonics Technology Letters,1041-1135,False,False,Accès ouvert,Green,Archive ouverte,Hal,Institute of Electrical and Electronics Engineers (IEEE),Sciences physiques et astronomie,"ORAU Program at Nazarbayev University,Agence Nationale de la Recherche"
SCOPUS_ID:85069004252,10.1103/PhysRevFluids.4.064804,2019,,Krstulovic G.,non,Strong turbulence for vibrating plates: Emergence of a Kolmogorov spectrum,Physical Review Fluids,2469-990X,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",American Physical Society (APS),Sciences physiques et astronomie,"Fondo Nacional de Desarrollo Científico y Tecnológico,Comisión Nacional de Investigación Científica y Tecnológica"
SCOPUS_ID:85069701777,10.25088/ComplexSystems.28.2.197,2019,Collard P.|Laboratoire D'informatique Signaux et Systèmes de Sophia-Antipolis,Collard P.,oui,Strong and Weak Spatial Segregation with Multilevel Discrimination Criteria,Complex Systems,0891-2513,False,False,Accès fermé,Closed,Accès fermé,Autres,"Wolfram Research, Inc.",Mathématiques,
SCOPUS_ID:85070092120,10.1103/PhysRevE.100.012216,2019,,Huyet G.,non,Dynamics of a class- A nonlinear mirror mode-locked laser,Physical Review E,2470-0045,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"Centre National de la Recherche Scientifique,Deutsche Forschungsgemeinschaft"
SCOPUS_ID:85070950796,10.1029/2019JB017324,2019,,Ampuero J.P.,non,Seismic and Aseismic Fault Growth Lead to Different Fault Orientations,Journal of Geophysical Research: Solid Earth,2169-9313,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"Hal,arXiv,Autres",American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",European Commission
SCOPUS_ID:85070841965,10.1029/2019JB017454,2019,Chemenda A.I.|Le Laboratoire Géoazur,Chemenda A.I.,oui,"Origin of Regular Networks of Joints: Experimental Constraints, Theoretical Background, and Numerical Modeling",Journal of Geophysical Research: Solid Earth,2169-9313,False,False,Accès ouvert,Green,Archive ouverte,Hal,American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85070724906,10.1029/2019JE005959,2019,Broquet A.|Laboratoire Joseph-Louis Lagrange,Broquet A.|Wieczorek M.A.,oui,The Gravitational Signature of Martian Volcanoes,Journal of Geophysical Research: Planets,2169-9097,False,False,Accès ouvert,Green,Archive ouverte,Hal,American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85070814614,10.1130/GES02069.1,2019,Leclerc F.|Le Laboratoire Géoazur,Leclerc F.,oui,"Quaternary coral reef complexes as powerful markers of long-term subsidence related to deep processes at subduction zones: Insights from Les Saintes (Guadeloupe, French West Indies)",Geosphere,1553-040X,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",,Inconnu,
SCOPUS_ID:85070787665,10.1029/2018JB016670,2019,,Ampuero J.P.,non,Depletion‐Induced Seismicity at the Groningen Gas Field: Coulomb Rate‐and‐State Models Including Differential Compaction Effect,Journal of Geophysical Research: Solid Earth,2169-9313,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"Hal,Autres",American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",
