publisher_by_doiprefix|2016|2017|2018|2019|2020|2021
VM Media SP. zo.o VM Group SK|0|0|1|1|0|0
Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften|0|0|0|0|0|3
Vilnius Gediminas Technical University|0|0|0|0|0|1
WITPRESS LTD.|0|0|0|0|0|1
Walter de Gruyter GmbH|8|10|5|9|13|13
Westerdijk Fungal Biodiversity Institute|0|0|1|0|0|0
White Horse Press|0|0|0|0|0|1
Wiley|154|143|158|165|155|183
Wolfram Research, Inc.|1|1|0|1|0|0
World Scientific Pub Co Pte Ltd|14|9|15|7|14|5
eLife Sciences Publications, Ltd|6|1|2|7|5|11
