source_doi,published-print-date,is-referenced-by-count,funder,published-online-date,journal-published-print-date
10.1016/j.pdpdt.2015.07.176,2016.0,13.0,,,
10.1371/journal.pone.0149070,,13.0,,2016.0,
10.1103/PhysRevD.93.025014,,19.0,"Education, Audiovisual and Culture Executive Agency,Deutsche Forschungsgemeinschaft",2016.0,2016.0
10.1111/cea.12723,2016.0,62.0,,2016.0,2016.0
10.1002/ppul.23368,2016.0,23.0,none reported,2015.0,2016.0
10.1057/9781137480668,2016.0,5.0,,,
10.1016/j.biochi.2015.09.011,2016.0,16.0,"Société Francophone du Diabete (SFD),French Government INSERM,CNRS,ANR",,
10.1016/j.lrp.2014.09.001,2016.0,24.0,,,2016.0
10.1016/j.surg.2015.08.005,2016.0,43.0,,,2016.0
10.1016/j.jcv.2016.02.026,2016.0,102.0,,,
10.1111/eea.12378,2016.0,21.0,,2015.0,2016.0
10.5978/islsm.16-OR-02,2016.0,9.0,,,2016.0
10.1007/s10569-016-9674-3,2016.0,31.0,,2016.0,2016.0
10.1016/j.envsoft.2015.12.002,2016.0,48.0,,,
10.1038/mi.2016.3,2016.0,0.0,,2016.0,2016.0
10.1093/jac/dkv323,2016.0,2.0,Janssen Pharmaceuticals,2015.0,2016.0
10.1007/s00259-015-3304-2,2016.0,20.0,,2016.0,2016.0
10.1142/S0219887816500274,2016.0,0.0,,2016.0,2016.0
10.1080/17400309.2015.1106688,2016.0,3.0,,2016.0,2016.0
10.1212/WNL.0000000000002264,2016.0,40.0,,2015.0,2016.0
10.1007/s00404-016-4063-4,2016.0,8.0,,2016.0,2016.0
10.1785/0220150185,2016.0,8.0,,2015.0,2016.0
10.1016/j.jbspin.2015.11.005,2016.0,27.0,,,2016.0
10.1785/0220150111,2016.0,6.0,,2015.0,2016.0
10.1016/j.cmi.2015.10.038,2016.0,48.0,FRM,,2016.0
10.1002/yea.3143,2016.0,0.0,,2016.0,2016.0
10.1177/0843871415624176,2016.0,2.0,,2016.0,2016.0
10.1142/S0219887815501297,2016.0,1.0,,2016.0,2016.0
10.1016/j.clinre.2015.09.006,2016.0,1.0,,,2016.0
10.1016/j.ucl.2015.08.005,2016.0,59.0,,,2016.0
10.1016/j.jbspin.2015.04.012,2016.0,3.0,,,2016.0
10.1007/s10409-015-0487-5,2016.0,5.0,,2015.0,2016.0
10.1111/ger.12094,2016.0,7.0,,2013.0,2016.0
10.1097/PRS.0000000000001856,2016.0,3.0,,,
10.1016/j.soard.2015.10.070,2016.0,20.0,,,2016.0
10.1016/j.jse.2015.09.018,2016.0,49.0,,,2016.0
10.1016/j.jns.2016.02.012,2016.0,36.0,,,
10.1017/S1743921315008509,2015.0,0.0,,2016.0,2015.0
10.1016/j.jse.2015.08.033,2016.0,54.0,,,2016.0
10.1016/j.clinbiomech.2015.12.005,2016.0,15.0,,,
10.1017/S1365100515000097,2016.0,2.0,,2015.0,2016.0
10.1097/MEJ.0000000000000362,2017.0,15.0,,,2017.0
10.1016/j.lpm.2016.01.020,2016.0,1.0,,,2016.0
10.1530/EJE-15-1099,2016.0,17.0,,,
10.1016/j.cmi.2015.10.030,2016.0,16.0,,,2016.0
10.1097/DAD.0000000000000511,2016.0,11.0,,,2016.0
10.1016/j.clnu.2016.01.020,2016.0,398.0,,,2016.0
10.1007/s00345-015-1737-7,2016.0,2.0,,2015.0,2016.0
10.1111/jerd.12194,2016.0,8.0,,2016.0,2016.0
10.1051/0004-6361/201526888,2016.0,8.0,,2015.0,
10.1152/japplphysiol.00967.2015,2016.0,18.0,,,2016.0
10.1007/s12220-015-9654-y,2016.0,26.0,,2015.0,2016.0
10.1007/s10603-016-9315-y,2016.0,3.0,,2016.0,2016.0
10.1016/j.asoc.2015.11.012,2016.0,48.0,,,
10.1007/978-3-662-49665-7_5,2016.0,4.0,,,
10.1007/978-1-349-26270-0,1998.0,4.0,,,
10.1016/j.autrev.2016.01.001,2016.0,111.0,,,2016.0
10.1007/s00167-015-3835-x,2016.0,1.0,,2015.0,2016.0
10.1016/j.dld.2015.10.005,2016.0,14.0,,,2016.0
10.1038/nature16934,2016.0,129.0,,2016.0,2016.0
10.1111/bju.13523,2017.0,5.0,,2016.0,2017.0
10.1016/j.icarus.2016.04.013,2016.0,79.0,"NASA,University of Arizona,Jet Propulsion Laboratory,California Institute of Technology,CNES,Canadian Space Agency",,
10.1093/ecco-jcc/jjv162,2016.0,68.0,,2015.0,2016.0
10.1016/j.jpeds.2016.03.070,2016.0,15.0,,,
10.3847/0004-637X/826/1/44,,32.0,,2016.0,
10.1111/dar.12398,2017.0,16.0,French National Agency for Research on Aids and Viral Hepatitis (ANRS),2016.0,2017.0
10.1007/978-3-319-43425-4_23,2016.0,5.0,,2016.0,
10.1051/0004-6361/201525769,2016.0,0.0,,2016.0,
10.3354/meps11783,2016.0,10.0,,,
10.1007/978-3-319-34129-3_44,2016.0,7.0,,2016.0,
10.1016/j.ctrv.2015.12.007,2016.0,47.0,,,
10.1093/femsec/fiw120,2016.0,64.0,,2016.0,2016.0
10.1136/heartjnl-2016-310003,2017.0,43.0,,2016.0,2017.0
10.1109/TSP.2016.2518991,2016.0,52.0,,,
10.1111/ijlh.12531,2016.0,33.0,,2016.0,
10.1177/0957155815616588,2016.0,0.0,,2016.0,2016.0
10.1097/SHK.0000000000000665,2016.0,14.0,,,2016.0
10.1136/bcr-2016-215482 1,,2.0,,2016.0,
10.4267/2042/60676,,0.0,,2016.0,
10.1093/mnras/stv2942,2016.0,8.0,,2016.0,2016.0
10.1016/j.jcp.2016.04.020,2016.0,39.0,"DGA,Agence Nationale de la Recherche",,
10.1007/s11690-016-0536-7,2016.0,0.0,,2016.0,2016.0
10.1093/schbul/sbw002,2016.0,13.0,,2016.0,2016.0
10.1016/j.actaastro.2016.05.009,2016.0,4.0,"European Union’s Seventh Framework Programme,Protection of European Assets",,
10.1109/ICASSP.2016.7472545,2016.0,19.0,,,
10.1051/parasite/2016031,2016.0,11.0,,2016.0,
10.1097/SLA.0000000000001879,2017.0,50.0,,,2017.0
10.1186/s13059-016-0952-x,2016.0,11.0,"MIUR,PAINCAGE FP7,Flagship Project InterOmics,Wellcome Trust,Cancer Research UK",2016.0,2016.0
10.1016/j.ijrobp.2015.10.061,2016.0,40.0,,,2016.0
10.1007/s13199-016-0406-y,2016.0,8.0,Agence Nationale de la Recherche,2016.0,2016.0
10.1160/TH15-12-0964,2016.0,49.0,,2017.0,2016.0
10.1038/scientificamerican0516-28,,2.0,,2016.0,
10.3917/pox.113.0171,2016.0,5.0,,,2016.0
10.1016/j.physletb.2016.07.011,2016.0,20.0,EACEA,,
10.1016/j.cognition.2016.05.024,2016.0,31.0,"Agence Nationale de la Recherche,Région de Franche-Comté",,
10.1177/0146167216651407,2016.0,5.0,,2016.0,2016.0
10.1007/s00345-016-1826-2,2017.0,43.0,grant from Association des Amis de la Faculté de médicine de Nice,2016.0,2017.0
10.1108/IJBM-11-2014-0170,2016.0,30.0,,,2016.0
10.1016/j.clnu.2016.06.022,2017.0,53.0,,,2017.0
10.3917/rfsp.662.0321,2016.0,0.0,,,2016.0
10.1007/978-3-319-35122-3_9,2016.0,8.0,,2016.0,
10.1590/S1516-14982016002008,2016.0,0.0,,,2016.0
10.1145/2910019.2910029,2016.0,9.0,,2016.0,
10.1088/0143-0807/37/4/045601,2016.0,1.0,,2016.0,2016.0
10.1097/DAD.0000000000000579,2017.0,5.0,,,2017.0
10.18632/oncotarget.8458,2016.0,32.0,,2016.0,2016.0
10.1109/ICISE.2016.13,2016.0,7.0,,,
10.3917/lhs.197.0031,2015.0,2.0,,,2015.0
10.1017/S1473550416000227,2016.0,39.0,,2016.0,2016.0
10.2106/JBJS.O.00760,2016.0,13.0,,,2016.0
10.1007/s11695-016-2268-z,2016.0,4.0,,2016.0,2016.0
10.1142/S0218202516500457,2016.0,3.0,,2016.0,2016.0
10.1142/S0218271816500668,2016.0,4.0,,2016.0,2016.0
10.3917/etr.0911.0057,2016.0,0.0,,,2016.0
10.1515/arcadia-2016-0006,2016.0,0.0,,,
10.1007/s13347-016-0213-7,2016.0,0.0,,2016.0,2016.0
10.1111/ijlh.12499,2016.0,21.0,,2016.0,2016.0
10.1172/JCI84518,2016.0,56.0,,,2016.0
10.1080/00927872.2015.1087535,2016.0,8.0,,2016.0,2016.0
10.1016/j.erap.2015.07.002,2016.0,0.0,,,2016.0
10.1109/EWME.2016.7496477,2016.0,1.0,,,
10.1016/j.eurger.2016.04.012,2016.0,12.0,,,2016.0
10.1109/JSAC.2016.2558978,2016.0,22.0,UCN@Sophia Labex,,
10.1007/978-3-319-41754-7_7,2016.0,1.0,,2016.0,
10.1093/brain/awv368,2016.0,0.0,,2015.0,2016.0
10.1108/CG-09-2015-0123,2016.0,8.0,,,2016.0
10.5220/0005699100850095,2016.0,5.0,,,
10.1093/ecco-jcc/jjv224,2016.0,40.0,,2015.0,2016.0
10.1016/j.arcped.2016.03.019,2016.0,0.0,,,2016.0
10.1109/CBMI.2016.7500255,2016.0,3.0,,,
10.18632/oncotarget.10005,2016.0,13.0,,2016.0,2016.0
10.1016/j.nut.2016.01.019,2016.0,58.0,,,2016.0
10.1080/15284336.2015.1135553,2016.0,4.0,French National Agency for Research on AIDS and Viral Hepatitis(ANRS),2016.0,2016.0
10.1097/CCM.0000000000001900,2016.0,0.0,,,
10.3917/i2d.161.0034,2016.0,1.0,,,2016.0
10.1126/scitranslmed.aaf1471,2016.0,196.0,"ERC,Interuniversity Attraction Poles (T-TIME),Research Fund KU Leuven,FWO (Research Foundation-Flanders),Australian Research Council Future Fellowship,INSERM,GIS (Groupement d'Interet Scientifique)_Institut des Maladies Rares,Victorian State Government Operational Infrastructure Scheme,Independent Research Institute Infrastructure Support Scheme,Australian National Health and Medical Research Council",,2016.0
10.1016/j.bulcan.2016.01.014,2016.0,6.0,,,2016.0
10.1145/2901318.2901326,2016.0,57.0,,2016.0,
10.1109/HMI.2016.7449159,2016.0,0.0,,,
10.1097/CCM.0000000000001580,2016.0,0.0,,,
10.1159/000442158,2015.0,28.0,,2016.0,2016.0
10.1136/thoraxjnl-2016-208407,2016.0,1.0,,2016.0,2016.0
10.1016/j.rhum.2016.02.012,2016.0,0.0,,,2016.0
10.1016/j.gmod.2016.05.003,2016.0,6.0,,,
10.1007/s11207-016-0890-5,2016.0,7.0,"Scientific and Technical Council of Turkey,Air Force Office of Scientific Research,National Science Foundation,Belgian Solar-Terrestrial Center of Excellence,International Space Science Institute in Bern",2016.0,2016.0
10.1016/j.cgh.2016.02.016,2016.0,130.0,,,2016.0
10.1002/mop.29852,2016.0,2.0,French National Agency for Research,2016.0,2016.0
10.1001/jama.2016.3486,2016.0,0.0,,,2016.0
10.4267/2042/58977,,4.0,,2016.0,
10.1080/08869634.2016.1149291,2017.0,3.0,,2016.0,2017.0
10.1007/s10096-016-2697-6,2016.0,5.0,,2016.0,2016.0
10.1109/ISBI.2016.7493411,2016.0,5.0,,,
10.1080/09639489.2016.1153459,2016.0,2.0,,2016.0,2016.0
10.1016/j.tcs.2015.12.012,2016.0,9.0,NSERC,,
10.1080/13534645.2016.1201922,2016.0,4.0,,2016.0,2016.0
10.1007/978-3-319-27687-8_2,2016.0,1.0,,2016.0,
10.1016/j.npg.2016.06.004,2017.0,0.0,,,2017.0
10.1002/eji.201546143,2016.0,5.0,INSERM,2016.0,2016.0
10.1111/bju.13344,2016.0,3.0,,2016.0,2016.0
10.1016/j.oraloncology.2018.04.008,2018.0,399.0,"Bristol-Myers Squibb,Bristol-Myers Squibb,Princeton,Bristol-Myers Squibb",,
10.1016/j.jviscsurg.2018.04.004,2019.0,14.0,,,2019.0
10.1007/s11207-019-1569-5,2019.0,2.0,,2019.0,2019.0
10.1016/bs.abr.2019.09.013,2020.0,4.0,,,
10.1145/3365871.3365901,2019.0,5.0,,2019.0,
10.1007/s11704-018-7217-7,2020.0,0.0,,2019.0,2020.0
10.1016/j.bcp.2019.113711,2020.0,14.0,"Agence Nationale de la Recherche,European Commission",,
10.1371/journal.pone.0217121,,1.0,"Ministry of Science and Innovation-FEDER,Xunta-FEDER de Galicia",2019.0,
10.1007/978-3-030-33220-4_15,2019.0,0.0,,2019.0,
10.1017/S095679251900038X,2020.0,7.0,,2019.0,2020.0
10.1007/978-3-030-33792-6_8,2019.0,4.0,,2019.0,
10.1016/j.jecp.2019.104735,2020.0,1.0,"Natural Sciences and Engineering Research Council of Canada,Agence Nationale de la Recherche",,
10.1016/j.cag.2019.10.005,2020.0,9.0,Agence Nationale de la Recherche,,
10.1063/1.5121379,2019.0,18.0,"Agence Nationale de la Recherche,LabEx GANEX",,2019.0
10.1093/icc/dtz021,2019.0,2.0,"French government,UCAJEDI Investments,National Research Agency,French National Research Agency",2019.0,2019.0
10.1103/PhysRevB.100.235103,,3.0,"Ministry of Education - Singapore,Nanyang Technological University",2019.0,2019.0
10.1103/PhysRevD.100.104047,,10.0,"Science and Technology Facilities Council,Horizon 2020 Framework Programme,H2020 Marie Skłodowska-Curie Actions",2019.0,2019.0
10.1111/bjd.18639,2020.0,6.0,"Dystrophic Epidermolysis Bullosa Research Association,Deutsche Forschungsgemeinschaft,Agence Nationale de la Recherche",2019.0,2020.0
10.1007/s00191-019-00654-7,2020.0,12.0,ADEME,2019.0,2020.0
10.1016/j.apacoust.2019.107180,2020.0,2.0,Institut National de Recherche et de Sécurité,,
10.1038/s41467-019-13793-z,2019.0,84.0,,2019.0,2019.0
10.1177/2047487319884385,2020.0,4.0,,2019.0,2020.0
10.1051/medsci/2019164,2019.0,0.0,,2019.0,
10.1111/sjos.12424,2020.0,2.0,,2019.0,2020.0
10.3390/ceramics1020029,,6.0,Agence Nationale de la Recherche,2018.0,
10.1007/978-3-030-37584-3_2,2020.0,1.0,,2019.0,
10.1103/PhysRevLett.123.231108,,164.0,"Max-Planck-Gesellschaft,Gottfried Wilhelm Leibniz Universität Hannover,Deutsche Forschungsgemeinschaft,Instituto Nazionale di Fisica Nucleare,Centre National de la Recherche Scientifique,Netherlands Organization for International Cooperation in Higher Education,Spanish Agencia Estatal de Investigación,Narodowe Centrum Nauki,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,European Commission,Országos Tudományos Kutatási Alapprogramok,Germany’s Excellence Strategy EXC 2123 QuantumFrontiers,Cultura i Esport de la Generalitat Valenciana",2019.0,2019.0
10.1016/j.laa.2019.11.005,2020.0,13.0,,,
10.24033/asens.2386,2019.0,3.0,,,2019.0
10.1088/1361-6420/ab2c91,2019.0,1.0,Tunisian Ministry of Higher Education and Scientific Research,2019.0,2019.0
10.1007/978-3-030-33792-6_15,2019.0,0.0,,2019.0,
10.1016/j.icarus.2019.113505,2020.0,2.0,"NASA,CNES,Université Côte d'Azur,U.S. Department of Energy",,
10.1364/JOSAB.36.002989,2019.0,6.0,"Deutsche Forschungsgemeinschaft,Agence Nationale de la Recherche",2019.0,2019.0
10.1093/gji/ggz477,2020.0,7.0,,2019.0,2020.0
10.1103/PhysRevD.100.122002,,35.0,"National Science Foundation,Science and Technology Facilities Council,Australian Research Council,Instituto Nazionale di Fisica Nucleare,Centre National de la Recherche Scientifique,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Council of Scientific and Industrial Research,Department of Science and Technology, Ministry of Science and Technology,Science and Engineering Research Board,Ministry of Human Resource Development,Agencia Estatal de Investigación,Generalitat Valenciana,Narodowe Centrum Nauki,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Russian Foundation for Basic Research,Russian Science Foundation,European Commission,European Regional Development Funds,Royal Society,Scottish Funding Council,Scottish Universities Physics Alliance,Országos Tudományos Kutatási Alapprogramok,National Research, Development and Innovation Office Hungary,National Research Foundation of Korea,Ontario Ministry of Economic Development and Innovation,Natural Science and Engineering Research Council Canada,Canadian Institute for Advanced Research,National Natural Science Foundation of China,Leverhulme Trust,Ministry of Science and Technology, Taiwan,Kavli Foundation,Swinburne University of Technology,Max-Planck-Society,Vicepresidència i Conselleria d’Innovació,Recerca i Turisme,Conselleria d’Educació i Universitat del Govern de les Illes Balears,Conselleria d’Educació,Lyon Institute of Origins,Paris Île-de-France Region,Brazilian Ministry of Science, Technology, Innovations, and Communications,South American Institute for Fundamental Research,Research Grants Council of Hong Kong,National Collaborative Research Infrastructure Strategy",2019.0,2019.0
10.1021/acsphotonics.9b01435,2019.0,13.0,"Agence Nationale de la Recherche,Japan Society for the Promotion of Science",2019.0,2019.0
10.1103/PhysRevA.100.050101,,3.0,Japan Society for the Promotion of Science,2019.0,2019.0
10.1007/s10851-019-00917-9,2020.0,5.0,,2019.0,2020.0
10.1007/s00191-019-00648-5,2020.0,1.0,,2019.0,2020.0
10.1016/j.scitotenv.2019.136010,2020.0,54.0,Labex DRIIHM,,
10.1038/s41598-019-55141-7,2019.0,21.0,,2019.0,2019.0
10.1002/esp.4740,2020.0,7.0,,2019.0,2020.0
10.1016/j.jbspin.2019.09.008,2020.0,1.0,,,2020.0
10.1117/12.2530482,2019.0,0.0,,,
10.1029/2019JE006019,2019.0,18.0,,2019.0,2019.0
10.3389/fmolb.2019.00124,,21.0,,2019.0,
10.23919/EuMC.2019.8910706,2019.0,0.0,,,
10.1126/science.aay3544,2019.0,93.0,"National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Marshall Space Flight Center,Goddard Space Flight Center,Canadian Space Agency,Centre National d’Etudes Spatiales",,2019.0
10.1038/s41598-019-54416-3,2019.0,8.0,Agence Nationale de la Recherche,2019.0,2019.0
10.1038/s41598-019-55630-9,2019.0,2.0,,2019.0,2019.0
10.1016/bs.ctdb.2019.10.007,2020.0,8.0,,,
10.1038/s41598-019-54354-0,2019.0,11.0,,2019.0,2019.0
10.3389/fmolb.2019.00129,,29.0,Fondation pour la Recherche Médicale,2019.0,
10.1103/PhysRevLett.123.243401,,12.0,"Horizon 2020 Framework Programme,H2020 Marie Sk?odowska-Curie Actions,Fundação de Amparo à Pesquisa do Estado de São Paulo,Conselho Nacional de Desenvolvimento Científico e Tecnológico,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Agence Nationale de la Recherche,Deutsche Forschungsgemeinschaft",2019.0,2019.0
10.15184/aqy.2019.167,2019.0,4.0,,2019.0,2019.0
10.1016/j.jvs.2019.06.107,2020.0,0.0,,,2020.0
10.1038/s41380-019-0629-4,2020.0,16.0,,2019.0,2020.0
10.7151/dmgt.2250,2019.0,1.0,,,2022.0
10.1051/0004-6361/201834745,2019.0,15.0,"Agence Nationale de la Recherche,Programme National de Planetolgie",2019.0,
10.1103/PhysRevLett.123.231102,,5.0,"National Science Foundation,Carleton College",2019.0,2019.0
10.26615/978-954-452-056-4_039,2019.0,6.0,,2019.0,
10.3389/fpls.2019.01496,,7.0,Agence Nationale de la Recherche,2019.0,
10.23919/EuMIC.2019.8909460,2019.0,0.0,,,
10.1021/acsami.9b17525,2019.0,11.0,"Solid State Lighting and Energy Electronics Center, University of California Santa Barbara,University of California, Santa Barbara",2019.0,2019.0
10.1007/978-3-030-33220-4_14,2019.0,3.0,,2019.0,
10.1016/j.avsg.2019.07.025,2020.0,4.0,,,
10.1186/s13027-019-0262-5,2019.0,6.0,"Ministry of Education and Science of the Russian Federation,SPbPU",2019.0,2019.0
10.1186/s13690-019-0375-8,2019.0,11.0,,2019.0,2019.0
10.1002/advs.201901913,2020.0,60.0,Air Force Office of Scientific Research,2019.0,2020.0
10.1063/1.5136214,2019.0,3.0,,,
10.1016/j.jfo.2019.04.021,2020.0,3.0,,,2020.0
10.1136/jclinpath-2019-206366,2020.0,0.0,"Fondation ARC pour la Recherche sur le Cancer, France.",2019.0,2020.0
10.1016/j.clinbiomech.2019.11.012,2020.0,4.0,"CAPES,PDSE",,
10.1016/j.jmaa.2019.123768,2020.0,0.0,"Université Côte d’Azur,Agence Nationale de la Recherche,National Natural Science Foundation of China",,2020.0
10.1111/blar.13021,2020.0,1.0,,2019.0,2020.0
10.1016/j.tmaid.2019.101548,2020.0,8.0,"Institut Hospitalo-Universitaire,National Research Agency under the program,FEDER PRIMI",,
10.1109/IPIN.2019.8911777,2019.0,1.0,,,
10.1103/PhysRevD.100.104036,,322.0,"National Science Foundation,Science and Technology Facilities Council,Max-Planck-Gesellschaft,Australian Research Council,Instituto Nazionale di Fisica Nucleare,Centre National de la Recherche Scientifique,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Department of Science and Technology, Ministry of Science and Technology,Science and Engineering Research Board,Ministry of Human Resource Development,Narodowe Centrum Nauki,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Russian Foundation for Basic Research,Russian Science Foundation,European Commission,European Regional Development Fund,Royal Society,Scottish Funding Council,Scottish Universities Physics Alliance,Országos Tudományos Kutatási Alapprogramok,National Research Foundation of Korea,Industry Canada,Ontario Ministry of Economic Development and Innovation,Natural Sciences and Engineering Research Council of Canada,Canadian Institute for Advanced Research,Research Grants Council, University Grants Committee,National Natural Science Foundation of China,Leverhulme Trust,Ministry of Science and Technology, Taiwan,Kavli Foundation,Council of Scientific and Industrial Research,State of Niedersachsen/Germany,Vicepresidència i Conselleria d’Innovació, Recerca i Turisme,Conselleria d’Educació i Universitat del Govern de les Illes Balears,Conselleria d’Educació, Investigació, Cultura i Esport de la Generalitat Valenciana,Lyon Institute of Origins,Paris Île-de-France Region,National Research, Development and Innovation Office Hungary,Brazilian Ministry of Science, Technology, Innovations, and Communications,International Center for Theoretical Physics South American Institute for Fundamental Research,Research Corporation,Agencia Estatal de Investigaci&oacute;n",2019.0,2019.0
10.1016/j.lungcan.2019.10.013,2020.0,9.0,"French Cooperative Thoracic Intergroup,Institut National du Cancer,AstraZenaca",,
10.1016/j.ceb.2019.11.001,2020.0,8.0,"Agence Nationale de la Recherche,H2020 Marie Skłodowska-Curie Actions,Institut National de la Santé et de la Recherche Médicale,Université Côte d’Azur,Centre National de la Recherche Scientifique",,
10.1007/978-3-030-30874-2_8,2019.0,0.0,,2019.0,
10.1007/s00453-019-00657-7,2020.0,1.0,,2019.0,2020.0
10.3390/s19245337,,4.0,,2019.0,
10.1002/gps.5223,2020.0,10.0,Health and Medical Research Fund,2019.0,2020.0
10.1145/3343737.3343746,2019.0,0.0,Scalevisor: un hyperviseur pour rack désagrégé - Scalevisor,,
10.1016/j.cviu.2019.102863,2020.0,10.0,"Région Bretagne,Centre National de la Recherche Scientifique,Agence Nationale de la Recherche,Nvidia",,
10.3389/fimmu.2019.02595,,4.0,,2019.0,
10.3389/fimmu.2019.02873,,52.0,"Canadian Institutes of Health Research,Fonds de Recherche du Québec - Santé,Warren H. and Clara Cole Foundation,Fondation ARC pour la Recherche sur le Cancer",2019.0,
10.1127/entomologia/2019/0892,2019.0,59.0,,,2019.0
10.1111/1365-2664.13564,2020.0,4.0,"Agence Nationale de Sécurité Sanitaire de l’Alimentation, de l’Environnement et du Travail,Erzincan Üniversitesi",2020.0,2020.0
10.1103/PhysRevA.100.063845,,2.0,"Fundação de Amparo à Pesquisa do Estado de São Paulo,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Conselho Nacional de Desenvolvimento Científico e Tecnológico,Horizon 2020",2019.0,2019.0
10.3917/ride.333.0363,2019.0,0.0,,,2019.0
10.33594/000000196,,14.0,,2019.0,
10.1016/j.gsf.2019.10.005,2020.0,11.0,"Ministero dell’Istruzione, dell’Università e della Ricerca,Agenzia Spaziale Italiana",,2020.0
10.3847/1538-4357/ab4c39,,3.0,,2019.0,
10.11607/jomi.7670,2020.0,2.0,,,2020.0
10.3390/insects11010022,,15.0,National Natural Science Foundation of China,2019.0,
10.1142/S1793351X19400221,2019.0,0.0,,2019.0,2019.0
10.3390/microorganisms8010032,,3.0,Universidad de Santiago de Chile,2019.0,
10.1109/BIOCAS.2019.8919163,2019.0,1.0,,,
10.1039/c9sm01375j,,8.0,Agence Nationale de la Recherche,2020.0,2020.0
10.7554/eLife.49708,,66.0,"Association pour la Recherche sur le Cancer,Agence Nationale de la Recherche,European Research Council,Agence Nationale de la Recherche,Canceropôle PACA,Biotechnology and Biological Sciences Research Council,Isaac Newton Trust,Fondation Philippe Wiener - Maurice Anspach",2019.0,
10.3389/fcell.2016.00053,,136.0,Fondation ARC pour la Recherche sur le Cancer,2016.0,
10.1051/0004-6361/201628696,2017.0,2.0,,2017.0,
10.1016/j.jebo.2016.12.020,2017.0,16.0,"Stefano Bianchini,SNSF for having provided us the data and support",,
10.1109/RADIO.2016.7771999,2016.0,0.0,,,
10.1051/0004-6361/201629930,2017.0,72.0,,2017.0,
10.1103/PhysRevB.95.035413,,13.0,"Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México,Consejo Nacional de Ciencia y Tecnología",2017.0,2017.0
10.1080/21623945.2015.1122854,2016.0,7.0,,2016.0,2016.0
10.1111/imm.12702,2017.0,7.0,"Centre National de la Recherche Scientifique,Cancéropole PACA,Fondation ARC pour la Recherche sur le Cancer,Agence Nationale de la Recherche",2017.0,2017.0
10.1364/cleo_qels.2016.fm3n.4,2016.0,0.0,,,
10.1109/FOCS.2016.79,2016.0,2.0,,,
10.1038/ncomms14105,2017.0,105.0,,2017.0,2017.0
